connectivity,sync_interval_minutes,updates_per_display_day,conflict_bias,high_risk_update_share,policy,runs,events_total,conflicts,high_risk_conflicts,silent_overwrites,high_risk_silent_overwrites,manual_reviews,high_risk_manual_reviews,accepted_updates,sync_messages,local_superseded_updates,stale_entity_display_minutes,stale_ratio,end_stale_pairs
good,1,20,0.1,0.15,last_write_wins,60,158.666667,0.233333,0.016667,0.233333,0.016667,0.0,0.0,158.35,1194.4,0.066667,960.716667,0.002602,1.866667
good,1,20,0.1,0.15,manual_review_all,60,158.666667,0.233333,0.016667,0.0,0.0,0.233333,0.016667,158.266667,1194.233333,0.066667,960.55,0.002601,1.866667
good,1,20,0.1,0.3,cloud_preferred,60,158.666667,0.35,0.133333,0.35,0.133333,0.0,0.0,158.2,1194.216667,0.05,909.15,0.002484,1.866667
good,1,20,0.1,0.3,display_preferred,60,158.666667,0.35,0.133333,0.35,0.133333,0.0,0.0,158.55,1195.75,0.05,910.45,0.002487,1.866667
good,1,20,0.1,0.3,domain_aware,60,158.666667,0.35,0.133333,0.216667,0.0,0.133333,0.133333,158.3,1194.55,0.05,909.483333,0.002485,1.866667
good,1,20,0.1,0.3,last_write_wins,60,158.666667,0.35,0.133333,0.35,0.133333,0.0,0.0,158.4,1194.716667,0.05,909.65,0.002485,1.866667
good,1,20,0.1,0.3,manual_review_all,60,158.666667,0.35,0.133333,0.0,0.0,0.35,0.133333,158.2,1194.216667,0.05,909.15,0.002484,1.866667
good,1,20,0.1,0.5,cloud_preferred,60,158.666667,0.666667,0.483333,0.666667,0.483333,0.0,0.0,157.8,1190.816667,0.1,945.816667,0.002581,1.733333
good,1,20,0.1,0.5,display_preferred,60,158.666667,0.666667,0.483333,0.666667,0.483333,0.0,0.0,158.466667,1194.066667,0.1,948.683333,0.002587,1.733333
good,1,20,0.1,0.5,domain_aware,60,158.666667,0.666667,0.483333,0.183333,0.0,0.483333,0.483333,157.933333,1191.45,0.1,946.566667,0.002583,1.733333
good,1,20,0.1,0.5,last_write_wins,60,158.666667,0.666667,0.483333,0.666667,0.483333,0.0,0.0,158.133333,1192.183333,0.1,947.45,0.002584,1.733333
good,1,20,0.1,0.5,manual_review_all,60,158.666667,0.666667,0.483333,0.0,0.0,0.666667,0.483333,157.8,1190.816667,0.1,945.816667,0.002581,1.733333
good,5,2,0.01,0.15,cloud_preferred,60,16.0,0.033333,0.0,0.033333,0.0,0.0,0.0,15.916667,118.933333,0.0,362.183333,0.001001,0.933333
good,5,2,0.01,0.15,display_preferred,60,16.0,0.033333,0.0,0.033333,0.0,0.0,0.0,15.95,119.15,0.0,363.266667,0.001003,0.933333
good,5,2,0.01,0.15,domain_aware,60,16.0,0.033333,0.0,0.033333,0.0,0.0,0.0,15.933333,119.083333,0.0,362.933333,0.001002,0.933333
good,5,2,0.01,0.15,last_write_wins,60,16.0,0.033333,0.0,0.033333,0.0,0.0,0.0,15.933333,119.083333,0.0,362.933333,0.001002,0.933333
good,5,2,0.01,0.15,manual_review_all,60,16.0,0.033333,0.0,0.0,0.0,0.033333,0.0,15.916667,118.933333,0.0,362.183333,0.001001,0.933333
good,5,2,0.01,0.3,cloud_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.9,119.716667,0.0,374.333333,0.001035,0.433333
good,5,2,0.01,0.3,display_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.916667,119.75,0.0,374.5,0.001036,0.433333
good,5,2,0.01,0.3,domain_aware,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.916667,119.75,0.0,374.5,0.001036,0.433333
good,5,2,0.01,0.3,last_write_wins,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.916667,119.75,0.0,374.5,0.001036,0.433333
good,5,2,0.01,0.3,manual_review_all,60,16.0,0.016667,0.0,0.0,0.0,0.016667,0.0,15.9,119.716667,0.0,374.333333,0.001035,0.433333
good,5,2,0.01,0.5,cloud_preferred,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,15.883333,118.7,0.016667,374.766667,0.001042,1.0
good,5,2,0.01,0.5,display_preferred,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,15.9,118.7,0.016667,374.766667,0.001042,1.0
good,5,2,0.01,0.5,domain_aware,60,16.0,0.016667,0.016667,0.0,0.0,0.016667,0.016667,15.883333,118.7,0.016667,374.766667,0.001042,1.0
good,5,2,0.01,0.5,last_write_wins,60,16.0,0.016667,0.016667,0.016667,0.016667,0.0,0.0,15.883333,118.7,0.016667,374.766667,0.001042,1.0
good,5,2,0.01,0.5,manual_review_all,60,16.0,0.016667,0.016667,0.0,0.0,0.016667,0.016667,15.883333,118.7,0.016667,374.766667,0.001042,1.0
good,5,2,0.05,0.15,cloud_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,119.166667,0.0,371.633333,0.001033,0.7
good,5,2,0.05,0.15,display_preferred,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,119.166667,0.0,371.633333,0.001033,0.7
good,5,2,0.05,0.15,domain_aware,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,119.166667,0.0,371.633333,0.001033,0.7
good,5,2,0.05,0.15,last_write_wins,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,119.166667,0.0,371.633333,0.001033,0.7
good,5,2,0.05,0.15,manual_review_all,60,16.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,119.166667,0.0,371.633333,0.001033,0.7
good,5,2,0.05,0.3,cloud_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.866667,117.95,0.0,368.2,0.000999,1.366667
good,5,2,0.05,0.3,display_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.883333,118.016667,0.0,368.533333,0.001,1.366667
good,5,2,0.05,0.3,domain_aware,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.866667,117.95,0.0,368.2,0.000999,1.366667
good,5,2,0.05,0.3,last_write_wins,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.866667,117.95,0.0,368.2,0.000999,1.366667
good,5,2,0.05,0.3,manual_review_all,60,16.0,0.016667,0.0,0.0,0.0,0.016667,0.0,15.866667,117.95,0.0,368.2,0.000999,1.366667
good,5,2,0.05,0.5,cloud_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.866667,118.4,0.0,368.983333,0.001014,1.166667
good,5,2,0.05,0.5,display_preferred,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.883333,118.45,0.0,369.233333,0.001015,1.166667
good,5,2,0.05,0.5,domain_aware,60,16.0,0.016667,0.0,0.016667,0.0,0.0,0.0,15.866667,118.4,0.0,368.983333,0.001014,1.166667
